index,filename,code_available,hyperparameters_detailed,env_version_specified,year,conference,conf_id,seeds,keyword_0,keyword_1,keyword_2,keyword_3,keyword_4,keyword_5,keyword_6,algorithm_0,algorithm_1,algorithm_2,algorithm_3,algorithm_4,algorithm_5,algorithm_6
11,Universal Agent for Disentangling Environments and Tasks.pdf,False,False,False,2018,iclr,iclr_2018,0,we\s+(?:propose|present|introduce|develop)\s+(?:\w+\s+)*?reinforcement\s+learning,through\s+(?:deep\s+)?reinforcement\s+learning,(?:discount|reward)\s+function,,,,,a3c,,,,,,
12,DCN Mixed Objective And Deep Residual Coattention for Question Answering.pdf,False,False,False,2018,iclr,iclr_2018,0,we\s+(?:propose|present|introduce|develop)\s+(?:\w+\s+)*?reinforcement\s+learning,trained\s+(?:with\s+|using\s+)?(?:deep\s+|model-based\s+|model-free\s+)?reinforcement\s+learning,policy\s+gradient\s+(?:method|algorithm|approach),(?:discount|reward)\s+function,,,,ppo,dqn,,,,,
13,SCAN Learning Hierarchical Compositional Visual Concepts.pdf,True,False,False,2018,iclr,iclr_2018,0,through\s+(?:deep\s+)?reinforcement\s+learning,,,,,,,ppo,sac,,,,,
14,Flipout Efficient Pseudo-Independent Weight Perturbations on Mini-Batches.pdf,False,True,False,2018,iclr,iclr_2018,0,we\s+(?:propose|present|introduce|develop)\s+(?:\w+\s+)*?reinforcement\s+learning,,,,,,,ppo,,,,,,
15,Routing Networks Adaptive Selection of Non-Linear Functions for Multi-Task Learning.pdf,False,False,False,2018,iclr,iclr_2018,1-5,based\s+on\s+(?:deep\s+)?reinforcement\s+learning,policy\s+gradient\s+(?:method|algorithm|approach),,,,,,ppo,dqn,sac,,,,
16,Memory Augmented Control Networks.pdf,False,False,False,2018,iclr,iclr_2018,0,(?:discount|reward)\s+function,,,,,,,a3c,ppo,dqn,,,,
17,Divide and Conquer Networks.pdf,True,True,False,2018,iclr,iclr_2018,0,policy\s+gradient\s+(?:method|algorithm|approach),(?:discount|reward)\s+function,,,,,,ppo,sac,,,,,
18,Towards better understanding of gradient-based attribution methods for Deep Neural Networks.pdf,True,False,False,2018,iclr,iclr_2018,0,through\s+(?:deep\s+)?reinforcement\s+learning,,,,,,,ppo,sac,,,,,
19,Zero-Shot Visual Imitation.pdf,True,True,False,2018,iclr,iclr_2018,over 10,(?:discount|reward)\s+function,,,,,,,ppo,sac,,,,,
20,TD or not TD Analyzing the Role of Temporal Differencing in Deep Reinforcement Learning.pdf,True,False,False,2018,iclr,iclr_2018,1-5,through\s+(?:deep\s+)?reinforcement\s+learning,policy\s+gradient\s+(?:method|algorithm|approach),action-value\s+function,,,,,trpo,a3c,dqn,a2c,sac,ppo,
21,NerveNet Learning Structured Policy with Graph Neural Networks.pdf,False,True,False,2018,iclr,iclr_2018,0,through\s+(?:deep\s+)?reinforcement\s+learning,policy\s+gradient\s+(?:method|algorithm|approach),,,,,,trpo,ppo,sac,,,,
22,Stochastic Activation Pruning for Robust Adversarial Defense.pdf,True,False,False,2018,iclr,iclr_2018,0,through\s+(?:deep\s+)?reinforcement\s+learning,,,,,,,other,,,,,,
23,Learning to Teach.pdf,True,False,False,2018,iclr,iclr_2018,0,we\s+(?:propose|present|introduce|develop)\s+(?:\w+\s+)*?reinforcement\s+learning,policy\s+gradient\s+(?:method|algorithm|approach),,,,,,sac,,,,,,
24,Ask the Right Questions Active Question Reformulation with Reinforcement Learning.pdf,True,False,False,2018,iclr,iclr_2018,0,trained\s+(?:with\s+|using\s+)?(?:deep\s+|model-based\s+|model-free\s+)?reinforcement\s+learning,policy\s+gradient\s+(?:method|algorithm|approach),(?:discount|reward)\s+function,,,,,pets,ppo,,,,,
25,Learning to Multi-Task by Active Sampling.pdf,False,True,False,2018,iclr,iclr_2018,0,through\s+(?:deep\s+)?reinforcement\s+learning,(?:discount|reward)\s+function,,,,,,trpo,a3c,dqn,a2c,ppo,,
26,Leave no Trace Learning to Reset for Safe and Autonomous Reinforcement Learning.pdf,False,False,False,2018,iclr,iclr_2018,6-10,we\s+(?:propose|present|introduce|develop)\s+(?:\w+\s+)*?reinforcement\s+learning,policy\s+gradient\s+(?:method|algorithm|approach),(?:discount|reward)\s+function,,,,,ppo,dqn,ddpg,,,,
27,Hyperparameter optimization a spectral approach.pdf,True,True,False,2018,iclr,iclr_2018,0,based\s+on\s+(?:deep\s+)?reinforcement\s+learning,,,,,,,ppo,,,,,,
28,A Deep Reinforced Model for Abstractive Summarization.pdf,False,False,False,2018,iclr,iclr_2018,0,we\s+(?:propose|present|introduce|develop)\s+(?:\w+\s+)*?reinforcement\s+learning,(?:discount|reward)\s+function,,,,,,other,,,,,,
29,Semi-parametric topological memory for navigation.pdf,True,False,False,2018,iclr,iclr_2018,over 10,based\s+on\s+(?:deep\s+)?reinforcement\s+learning,through\s+(?:deep\s+)?reinforcement\s+learning,trained\s+(?:with\s+|using\s+)?(?:deep\s+|model-based\s+|model-free\s+)?reinforcement\s+learning,,,,,ppo,sac,,,,,
30,Active Neural Localization.pdf,True,False,False,2018,iclr,iclr_2018,0,trained\s+(?:with\s+|using\s+)?(?:deep\s+|model-based\s+|model-free\s+)?reinforcement\s+learning,,,,,,,a3c,ppo,sac,a2c,,,
31,Learning how to explain neural networks PatternNet and PatternAttribution.pdf,False,False,False,2018,iclr,iclr_2018,0,through\s+(?:deep\s+)?reinforcement\s+learning,,,,,,,other,,,,,,
32,Interactive Grounded Language Acquisition and Generalization in a 2D World.pdf,True,False,False,2018,iclr,iclr_2018,0,through\s+(?:deep\s+)?reinforcement\s+learning,,,,,,,ppo,sac,,,,,
33,Consequentialist conditional cooperation in social dilemmas with imperfect information.pdf,True,False,False,2018,iclr,iclr_2018,0,through\s+(?:deep\s+)?reinforcement\s+learning,policy\s+gradient\s+(?:method|algorithm|approach),(?:discount|reward)\s+function,,,,,a3c,ppo,,,,,
34,Can Neural Networks Understand Logical Entailment.pdf,False,True,False,2018,iclr,iclr_2018,0,through\s+(?:deep\s+)?reinforcement\s+learning,,,,,,,other,,,,,,
35,Emergence of Linguistic Communication from  Referential Games with Symbolic and Pixel Input.pdf,False,False,False,2018,iclr,iclr_2018,0,(?:discount|reward)\s+function,,,,,,,other,,,,,,
36,Hierarchical and Interpretable Skill Acquisition in Multi-task Reinforcement Learning.pdf,False,False,False,2018,iclr,iclr_2018,0,through\s+(?:deep\s+)?reinforcement\s+learning,(?:discount|reward)\s+function,,,,,,a2c,,,,,,
37,Hierarchical Subtask Discovery with Non-Negative Matrix Factorization.pdf,False,False,False,2018,iclr,iclr_2018,0,(?:discount|reward)\s+function,,,,,,,ppo,,,,,,
38,Modular Continual Learning in a Unified Visual Environment.pdf,False,True,False,2018,iclr,iclr_2018,0,state-action\s+pairs,,,,,,,ppo,,,,,,
39,Emergence of grid-like representations by training recurrent neural networks to perform spatial loca.pdf,False,False,False,2018,iclr,iclr_2018,over 10,through\s+(?:deep\s+)?reinforcement\s+learning,,,,,,,ppo,sac,,,,,
40,Learning Parametric Closed-Loop Policies for Markov Potential Games.pdf,False,False,False,2018,iclr,iclr_2018,0,(?:discount|reward)\s+function,,,,,,,trpo,a3c,sac,ddpg,ppo,,
41,Distributed Prioritized Experience Replay.pdf,False,True,False,2018,iclr,iclr_2018,0,we\s+(?:propose|present|introduce|develop)\s+(?:\w+\s+)*?reinforcement\s+learning,based\s+on\s+(?:deep\s+)?reinforcement\s+learning,through\s+(?:deep\s+)?reinforcement\s+learning,policy\s+gradient\s+(?:method|algorithm|approach),,,,a3c,dqn,ddpg,a2c,sac,ppo,
42,Trust-PCL An Off-Policy Trust Region Method for Continuous Control.pdf,True,True,False,2018,iclr,iclr_2018,1-5,policy\s+gradient\s+(?:method|algorithm|approach),,,,,,,trpo,ddpg,,,,,
43,Intrinsic Motivation and Automatic Curricula via Asymmetric Self-Play.pdf,False,False,False,2018,iclr,iclr_2018,6-10,policy\s+gradient\s+(?:method|algorithm|approach),(?:discount|reward)\s+function,,,,,,trpo,ppo,,,,,
44,Go for a Walk and Arrive at the Answer Reasoning Over Paths in Knowledge Bases using Reinforcement L.pdf,True,False,False,2018,iclr,iclr_2018,0,we\s+(?:propose|present|introduce|develop)\s+(?:\w+\s+)*?reinforcement\s+learning,trained\s+(?:with\s+|using\s+)?(?:deep\s+|model-based\s+|model-free\s+)?reinforcement\s+learning,,,,,,ppo,sac,,,,,
45,Learning an Embedding Space for Transferable Robot Skills.pdf,False,False,False,2018,iclr,iclr_2018,0,we\s+(?:propose|present|introduce|develop)\s+(?:\w+\s+)*?reinforcement\s+learning,through\s+(?:deep\s+)?reinforcement\s+learning,policy\s+gradient\s+(?:method|algorithm|approach),(?:discount|reward)\s+function,,,,pets,dqn,,,,,
46,Guide Actor-Critic for Continuous Control.pdf,True,False,False,2018,iclr,iclr_2018,6-10,through\s+(?:deep\s+)?reinforcement\s+learning,policy\s+gradient\s+(?:method|algorithm|approach),action-value\s+function,(?:discount|reward)\s+function,,,,trpo,ppo,dqn,,,,
47,An Online Learning Approach to Generative Adversarial Networks.pdf,False,False,False,2018,iclr,iclr_2018,6-10,(?:discount|reward)\s+function,,,,,,,other,,,,,,
48,Learning a Generative Model for Validity in Complex Discrete Structures.pdf,False,False,False,2018,iclr,iclr_2018,0,we\s+train\s+(?:a\s+|an\s+)(?:deep\s+|model-based\s+|model-free\s+)?(?:reinforcement\s+learning|RL),,,,,,,ppo,,,,,,
49,Emergent Communication through Negotiation.pdf,False,True,False,2018,iclr,iclr_2018,over 10,policy\s+gradient\s+(?:method|algorithm|approach),,,,,,,ppo,,,,,,
50,TRUNCATED HORIZON POLICY SEARCH COMBINING REINFORCEMENT LEARNING  IMITATION LEARNING.pdf,False,False,False,2018,iclr,iclr_2018,over 10,we\s+(?:propose|present|introduce|develop)\s+(?:\w+\s+)*?reinforcement\s+learning,through\s+(?:deep\s+)?reinforcement\s+learning,policy\s+gradient\s+(?:method|algorithm|approach),,,,,trpo,ppo,,,,,
51,Learning Deep Mean Field Games for Modeling Large Population Behavior.pdf,False,False,False,2018,iclr,iclr_2018,0,policy\s+gradient\s+(?:method|algorithm|approach),state-action\s+pairs,(?:discount|reward)\s+function,,,,,ppo,ddpg,,,,,
52,Continuous Adaptation via Meta-Learning in Nonstationary and Competitive Environments.pdf,False,False,False,2018,iclr,iclr_2018,0,through\s+(?:deep\s+)?reinforcement\s+learning,policy\s+gradient\s+(?:method|algorithm|approach),,,,,,ppo,,,,,,
53,Memory Architectures in Recurrent Neural Network Language Models.pdf,False,True,False,2018,iclr,iclr_2018,0,trained\s+(?:with\s+|using\s+)?(?:deep\s+|model-based\s+|model-free\s+)?reinforcement\s+learning,,,,,,,ppo,,,,,,
54,DORA The Explorer Directed Outreaching Reinforcement Action-Selection.pdf,True,False,False,2018,iclr,iclr_2018,over 10,through\s+(?:deep\s+)?reinforcement\s+learning,state-action\s+pairs,(?:discount|reward)\s+function,,,,,ppo,dqn,sac,,,,
55,Leveraging Grammar and Reinforcement Learning for Neural Program Synthesis.pdf,False,False,False,2018,iclr,iclr_2018,0,(?:discount|reward)\s+function,,,,,,,ppo,,,,,,
56,Model-Ensemble Trust-Region Policy Optimization.pdf,True,False,False,2018,iclr,iclr_2018,0,through\s+(?:deep\s+)?reinforcement\s+learning,policy\s+gradient\s+(?:method|algorithm|approach),(?:discount|reward)\s+function,,,,,trpo,ppo,sac,ddpg,,,
57,Emergent Complexity via Multi-Agent Competition.pdf,True,False,False,2018,iclr,iclr_2018,0,through\s+(?:deep\s+)?reinforcement\s+learning,policy\s+gradient\s+(?:method|algorithm|approach),value\s+function\s+approximation,(?:discount|reward)\s+function,,,,trpo,ppo,sac,,,,
58,Memory-based Parameter Adaptation.pdf,False,True,False,2018,iclr,iclr_2018,0,through\s+(?:deep\s+)?reinforcement\s+learning,,,,,,,ppo,,,,,,
59,Boosting the Actor with Dual Critic.pdf,True,False,False,2018,iclr,iclr_2018,1-5,policy\s+gradient\s+(?:method|algorithm|approach),state-action\s+pairs,,,,,,trpo,ppo,,,,,
60,Variance Reduction for Policy Gradient with Action-Dependent Factorized Baselines.pdf,False,False,False,2018,iclr,iclr_2018,0,through\s+(?:deep\s+)?reinforcement\s+learning,policy\s+gradient\s+(?:method|algorithm|approach),value\s+function\s+approximation,action-value\s+function,(?:discount|reward)\s+function,,,other,,,,,,
61,Parameter Space Noise for Exploration.pdf,True,False,False,2018,iclr,iclr_2018,1-5,through\s+(?:deep\s+)?reinforcement\s+learning,policy\s+gradient\s+(?:method|algorithm|approach),(?:discount|reward)\s+function,,,,,trpo,dqn,ddpg,,,,
62,Interpretable Counting for Visual Question Answering.pdf,False,True,False,2018,iclr,iclr_2018,0,we\s+(?:propose|present|introduce|develop)\s+(?:\w+\s+)*?reinforcement\s+learning,,,,,,,ppo,sac,,,,,
63,The Reactor A fast and sample-efficient Actor-Critic agent for  Reinforcement Learning.pdf,False,False,False,2018,iclr,iclr_2018,0,we\s+(?:propose|present|introduce|develop)\s+(?:\w+\s+)*?reinforcement\s+learning,based\s+on\s+(?:deep\s+)?reinforcement\s+learning,through\s+(?:deep\s+)?reinforcement\s+learning,policy\s+gradient\s+(?:method|algorithm|approach),action-value\s+function,,,trpo,a3c,dqn,a2c,ppo,,
64,Imitation Learning from Visual Data with Multiple Intentions.pdf,False,False,False,2018,iclr,iclr_2018,over 10,(?:discount|reward)\s+function,,,,,,,ppo,,,,,,
65,Parametrized Hierarchical Procedures for Neural Programming.pdf,False,False,False,2018,iclr,iclr_2018,1-5,policy\s+gradient\s+(?:method|algorithm|approach),,,,,,,ppo,sac,,,,,
66,TreeQN and ATreeC Differentiable Tree-Structured Models for Deep Reinforcement Learning.pdf,True,True,False,2018,iclr,iclr_2018,0,through\s+(?:deep\s+)?reinforcement\s+learning,policy\s+gradient\s+(?:method|algorithm|approach),action-value\s+function,(?:discount|reward)\s+function,,,,a3c,dqn,a2c,sac,,,
67,Progressive Reinforcement Learning with Distillation for Multi-Skilled Motion Control.pdf,False,False,False,2018,iclr,iclr_2018,0,policy\s+gradient\s+(?:method|algorithm|approach),(?:discount|reward)\s+function,,,,,,ppo,sac,,,,,
68,Reinforcement Learning on Web Interfaces using Workflow-Guided Exploration.pdf,True,False,False,2018,iclr,iclr_2018,0,through\s+(?:deep\s+)?reinforcement\s+learning,(?:discount|reward)\s+function,,,,,,a2c,,,,,,
69,Temporal Difference Models Model-Free Deep RL for Model-Based Control.pdf,False,True,False,2018,iclr,iclr_2018,1-5,we\s+(?:propose|present|introduce|develop)\s+(?:\w+\s+)*?reinforcement\s+learning,through\s+(?:deep\s+)?reinforcement\s+learning,(?:discount|reward)\s+function,,,,,ppo,dqn,ddpg,,,,
70,Latent Constraints Learning to Generate Conditionally from Unconditional Generative Models.pdf,False,False,False,2018,iclr,iclr_2018,0,(?:discount|reward)\s+function,,,,,,,ppo,dqn,sac,,,,
71,Maximum a Posteriori Policy Optimisation.pdf,False,True,False,2018,iclr,iclr_2018,6-10,we\s+(?:propose|present|introduce|develop)\s+(?:\w+\s+)*?reinforcement\s+learning,through\s+(?:deep\s+)?reinforcement\s+learning,policy\s+gradient\s+(?:method|algorithm|approach),action-value\s+function,(?:discount|reward)\s+function,,,trpo,dqn,ddpg,sac,ppo,,
72,RESIDUAL LOSS PREDICTION REINFORCEMENT LEARNING WITH NO INCREMENTAL FEEDBACK.pdf,True,True,False,2018,iclr,iclr_2018,0,we\s+(?:propose|present|introduce|develop)\s+(?:\w+\s+)*?reinforcement\s+learning,policy\s+gradient\s+(?:method|algorithm|approach),(?:discount|reward)\s+function,,,,,trpo,ppo,a2c,,,,
73,Action-dependent Control Variates for Policy Optimization via Stein Identity.pdf,False,False,False,2018,iclr,iclr_2018,1-5,policy\s+gradient\s+(?:method|algorithm|approach),,,,,,,trpo,dqn,ddpg,a2c,ppo,,
74,MGAN Training Generative Adversarial Nets with Multiple Generators.pdf,True,False,False,2018,iclr,iclr_2018,0,(?:discount|reward)\s+function,,,,,,,ppo,sac,,,,,
75,N2N learning Network to Network Compression via Policy Gradient Reinforcement Learning.pdf,False,True,False,2018,iclr,iclr_2018,1-5,we\s+(?:propose|present|introduce|develop)\s+(?:\w+\s+)*?reinforcement\s+learning,policy\s+gradient\s+(?:method|algorithm|approach),(?:discount|reward)\s+function,,,,,ppo,,,,,,
76,A Simple Neural Attentive Meta-Learner.pdf,False,True,False,2018,iclr,iclr_2018,1-5,(?:discount|reward)\s+function,,,,,,,trpo,sac,,,,,
0,Episodic Curiosity through Reachability.pdf,True,True,False,2019,iclr,iclr_2019,over 10,(?:discount|reward)\s+function,,,,,,,ppo,sac,,,,,
1,Policy Transfer with Strategy Optimization.pdf,True,False,False,2019,iclr,iclr_2019,1-5,(?:discount|reward)\s+function,,,,,,,trpo,ppo,,,,,
2,Supervised Policy Update for Deep Reinforcement Learning.pdf,True,True,False,2019,iclr,iclr_2019,over 10,through\s+(?:deep\s+)?reinforcement\s+learning,policy\s+gradient\s+(?:method|algorithm|approach),(?:discount|reward)\s+function,,,,,trpo,ppo,,,,,
3,Environment Probing Interaction Policies.pdf,True,False,False,2019,iclr,iclr_2019,0,through\s+(?:deep\s+)?reinforcement\s+learning,policy\s+gradient\s+(?:method|algorithm|approach),(?:discount|reward)\s+function,,,,,trpo,sac,,,,,
4,DHER Hindsight Experience Replay for Dynamic Goals.pdf,True,False,False,2019,iclr,iclr_2019,1-5,based\s+on\s+(?:deep\s+)?reinforcement\s+learning,through\s+(?:deep\s+)?reinforcement\s+learning,policy\s+gradient\s+(?:method|algorithm|approach),(?:discount|reward)\s+function,,,,trpo,ppo,dqn,ddpg,,,
5,Two-Timescale Networks for Nonlinear Value Function Approximation.pdf,False,True,False,2019,iclr,iclr_2019,0,through\s+(?:deep\s+)?reinforcement\s+learning,value\s+function\s+approximation,(?:discount|reward)\s+function,,,,,ppo,dqn,sac,,,,
6,From Language to Goals Inverse Reinforcement Learning for Vision-Based Instruction Following.pdf,False,False,False,2019,iclr,iclr_2019,1-5,through\s+(?:deep\s+)?reinforcement\s+learning,(?:discount|reward)\s+function,,,,,,dqn,,,,,,
7,Attention Learn to Solve Routing Problems.pdf,True,False,False,2019,iclr,iclr_2019,over 10,through\s+(?:deep\s+)?reinforcement\s+learning,,,,,,,ppo,dqn,,,,,
8,Deep Online Learning Via Meta-Learning Continual Adaptation for Model-Based RL.pdf,False,False,False,2019,iclr,iclr_2019,0,(?:discount|reward)\s+function,,,,,,,ppo,sac,,,,,
9,ProMP Proximal Meta-Policy Search.pdf,False,False,False,2019,iclr,iclr_2019,1-5,policy\s+gradient\s+(?:method|algorithm|approach),(?:discount|reward)\s+function,,,,,,trpo,ppo,sac,,,,
10,Learning To Solve Circuit-SAT An Unsupervised Differentiable Approach.pdf,False,False,False,2019,iclr,iclr_2019,0,policy\s+gradient\s+(?:method|algorithm|approach),(?:discount|reward)\s+function,,,,,,ppo,,,,,,
11,Neural Logic Machines.pdf,False,False,False,2019,iclr,iclr_2019,6-10,through\s+(?:deep\s+)?reinforcement\s+learning,,,,,,,ppo,,,,,,
12,Neural Speed Reading with Structural-Jump-LSTM.pdf,True,False,False,2019,iclr,iclr_2019,0,trained\s+(?:with\s+|using\s+)?(?:deep\s+|model-based\s+|model-free\s+)?reinforcement\s+learning,(?:discount|reward)\s+function,,,,,,a3c,a2c,,,,,
13,Reward Constrained Policy Optimization.pdf,True,True,False,2019,iclr,iclr_2019,0,through\s+(?:deep\s+)?reinforcement\s+learning,policy\s+gradient\s+(?:method|algorithm|approach),(?:discount|reward)\s+function,,,,,trpo,a3c,sac,a2c,ppo,,
14,Learning to Schedule Communication in Multi-agent Reinforcement Learning.pdf,True,False,False,2019,iclr,iclr_2019,0,through\s+(?:deep\s+)?reinforcement\s+learning,policy\s+gradient\s+(?:method|algorithm|approach),action-value\s+function,,,,,ppo,dqn,ddpg,sac,,,
15,Neural network gradient-based learning of black-box function interfaces.pdf,False,False,False,2019,iclr,iclr_2019,0,policy\s+gradient\s+(?:method|algorithm|approach),,,,,,,a3c,ppo,sac,,,,
16,Probabilistic Planning with Sequential Monte Carlo methods.pdf,True,True,False,2019,iclr,iclr_2019,over 10,action-value\s+function,state-action\s+pairs,(?:discount|reward)\s+function,,,,,dqn,sac,,,,,
17,Hierarchical Visuomotor Control of Humanoids.pdf,False,False,False,2019,iclr,iclr_2019,0,(?:discount|reward)\s+function,,,,,,,ppo,dqn,sac,,,,
18,Emergent Coordination Through Competition.pdf,False,False,False,2019,iclr,iclr_2019,1-5,our\s+(?:reinforcement\s+learning|RL)\s+(?:approach|method|algorithm),through\s+(?:deep\s+)?reinforcement\s+learning,policy\s+gradient\s+(?:method|algorithm|approach),action-value\s+function,(?:discount|reward)\s+function,,,ppo,,,,,,
19,Robustness May Be at Odds with Accuracy.pdf,True,False,False,2019,iclr,iclr_2019,0,through\s+(?:deep\s+)?reinforcement\s+learning,,,,,,,ppo,sac,,,,,
20,Analysing Mathematical Reasoning Abilities of Neural Models.pdf,True,False,False,2019,iclr,iclr_2019,0,through\s+(?:deep\s+)?reinforcement\s+learning,,,,,,,other,,,,,,
21,A new dog learns old tricks  RL finds classic optimization algorithms.pdf,False,False,False,2019,iclr,iclr_2019,6-10,policy\s+gradient\s+(?:method|algorithm|approach),,,,,,,ppo,sac,,,,,
22,Information-Directed Exploration for Deep Reinforcement Learning.pdf,True,False,False,2019,iclr,iclr_2019,1-5,through\s+(?:deep\s+)?reinforcement\s+learning,action-value\s+function,(?:discount|reward)\s+function,,,,,ppo,dqn,sac,,,,
23,Hyperbolic Attention Networks.pdf,True,False,False,2019,iclr,iclr_2019,over 10,through\s+(?:deep\s+)?reinforcement\s+learning,,,,,,,ppo,dqn,,,,,
24,On the Universal Approximability and Complexity Bounds of Quantized ReLU Neural Networks.pdf,False,False,False,2019,iclr,iclr_2019,0,using\s+(?:deep\s+)?reinforcement\s+learning\s+to,,,,,,,ppo,,,,,,
25,Near-Optimal Representation Learning for Hierarchical Reinforcement Learning.pdf,True,False,False,2019,iclr,iclr_2019,6-10,(?:discount|reward)\s+function,,,,,,,trpo,ppo,sac,,,,
26,Stochastic GradientMirror Descent Minimax Optimality and Implicit Regularization.pdf,False,False,False,2019,iclr,iclr_2019,0,through\s+(?:deep\s+)?reinforcement\s+learning,,,,,,,ppo,sac,,,,,
27,Learning a Meta-Solver for Syntax-Guided Program Synthesis.pdf,True,False,False,2019,iclr,iclr_2019,0,we\s+(?:propose|present|introduce|develop)\s+(?:\w+\s+)*?reinforcement\s+learning,,,,,,,ppo,a2c,,,,,
28,Knowledge Flow Improve Upon Your Teachers.pdf,True,True,False,2019,iclr,iclr_2019,over 10,through\s+(?:deep\s+)?reinforcement\s+learning,,,,,,,a3c,dqn,a2c,sac,ppo,,
29,Learning Actionable Representations with Goal Conditioned Policies.pdf,False,True,False,2019,iclr,iclr_2019,0,(?:discount|reward)\s+function,,,,,,,trpo,ppo,,,,,
30,Learning when to Communicate at Scale in Multiagent Cooperative and Competitive Tasks.pdf,True,False,False,2019,iclr,iclr_2019,1-5,through\s+(?:deep\s+)?reinforcement\s+learning,(?:discount|reward)\s+function,,,,,,ppo,dqn,ddpg,,,,
31,Hierarchical RL Using an Ensemble of Proprioceptive Periodic Policies.pdf,True,False,False,2019,iclr,iclr_2019,over 10,(?:discount|reward)\s+function,,,,,,,ppo,dqn,a2c,sac,,,
32,Probabilistic Recursive Reasoning for Multi-Agent Reinforcement Learning.pdf,False,False,False,2019,iclr,iclr_2019,0,through\s+(?:deep\s+)?reinforcement\s+learning,policy\s+gradient\s+(?:method|algorithm|approach),(?:discount|reward)\s+function,,,,,ppo,dqn,ddpg,sac,,,
33,Neural Graph Evolution Automatic Robot Design.pdf,False,True,False,2019,iclr,iclr_2019,0,(?:discount|reward)\s+function,,,,,,,ppo,,,,,,
34,Hierarchical Reinforcement Learning via Advantage-Weighted Information Maximization.pdf,True,False,False,2019,iclr,iclr_2019,0,policy\s+gradient\s+(?:method|algorithm|approach),action-value\s+function,state-action\s+pairs,(?:discount|reward)\s+function,,,,td3,ppo,sac,,,,
35,The Neuro-Symbolic Concept Learner Interpreting Scenes Words and Sentences From Natural Supervision.pdf,False,True,False,2019,iclr,iclr_2019,0,policy\s+gradient\s+(?:method|algorithm|approach),,,,,,,ppo,,,,,,
